seg_id,name,highway,posted_speed_mph,speed_source,lanes_final,lanes_source,roadway_width_ft,median_type,sidewalk_presence,adt,adt_source,op_speed_85_mph,median_hh_income,pct_poverty,pct_hispanic,pct_black_nh,pct_white_nh,pct_zero_car_hh,length_ft,oneway,merged_dual,n_signals,mid_lat,mid_lon,google_maps,u,v,key,osmid,highway_all,lanes,maxspeed_mph,width_ft,surface,lit,sidewalk,cycleway,parking,deg_u,deg_v,signal_u,signal_v,bearing,dual_carriageway,n_twins_merged,twin_seg_ids,lanes_rep_half,lanes_twin_half,maxspeed_city,match_frac,city_name,speed_name_match,geom_match_frac,city_lanes,avg_lane_width_ft,median_width_ft,lanes_osm_city_agree,width_source,median_source,adt_year,n_adt_stations,op_speed_source,bg_geoid,pop,pop_density_sqmi,sw_left_frac,sw_right_frac,sidewalk_source
C-00013,Bolsover Street,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,both,,,,250001.0,2.8,3.6,0.0,86.1,1.9,550.8362026860997,False,False,0,29.721048,-95.405319,"https://maps.google.com/?q=29.721048,-95.405319",152296836,152662970,0,103448709,residential,2.0,,,asphalt,,both,,,4,4,False,False,65.02867337317215,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014120001,1723.0,9154.0,0.0,0.0,osm_road_tag
C-00014,Bolsover Street,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,both,,,,250001.0,2.8,3.6,0.0,86.1,1.9,395.35467785246215,False,False,0,29.721566,-95.403951,"https://maps.google.com/?q=29.721566,-95.403951",152296836,1194474300,0,103448709,residential,2.0,,,asphalt,,both,,,4,3,False,False,244.383550208703,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014120001,1723.0,9154.0,0.0,0.0,osm_road_tag
C-00015,Lomitas Street,unclassified,30.0,default_30_local,2.0,default_local_2,24.0,Undivided,partial,,,,102895.0,12.7,11.6,7.6,53.7,20.8,705.6882958982568,False,False,0,29.731971,-95.417526,"https://maps.google.com/?q=29.731971,-95.417526",151378883,3127878753,0,15421361|15452982,unclassified,,,,,,,,,1,4,False,False,133.47036822359595,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014110031,1532.0,5998.0,0.45,0.45,osm_footway
C-00016,Kirby Drive,secondary,35.0,city,6.0,city,72.0,Depressed,partial,22382.0,street_median,,102895.0,12.7,11.6,7.6,53.7,20.8,260.98525144333837,False,True,0,29.732409,-95.418615,"https://maps.google.com/?q=29.732409,-95.418615",3127878753,3127878754,0,422651611,secondary,6.0,,,concrete:plates,,,,,4,4,False,False,357.8552604170684,True,1,C-06752,3.0,3.0,35.0,1.0,KIRBY DR,True,1.0,6.0,12.0,,1.0,city_lanes_x_width,city,,,,482014110031,1532.0,5998.0,0.0,0.27,osm_footway
C-00017,Brinkman Street,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,one_side,,,,250001.0,1.0,14.0,7.5,64.0,1.8,238.9675614676816,False,False,0,29.812087,-95.414958,"https://maps.google.com/?q=29.812087,-95.414958",151382824,152135214,0,15357118,residential,2.0,,,concrete,yes,none,,,3,1,False,False,165.3361200334077,False,0,,,,,0.2,,True,0.2,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482015111001,1217.0,5138.0,0.64,0.45,osm_footway
C-00018,West 28th Street,residential,30.0,osm,2.0,osm,24.0,Undivided,both,,,,250001.0,1.0,14.0,7.5,64.0,1.8,803.5339400473574,False,False,0,29.811884,-95.413554,"https://maps.google.com/?q=29.811884,-95.413554",151382824,152346014,0,15372264,residential,2.0,30.0,,asphalt,,,,,3,4,False,False,266.27865584150817,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482015111001,1217.0,5138.0,0.64,0.64,osm_footway
C-00019,Brinkman Street,residential,30.0,osm,2.0,osm,24.0,Undivided,both,,,,250001.0,1.0,14.0,7.5,64.0,1.8,1080.0195188173216,False,False,0,29.810865,-95.41413,"https://maps.google.com/?q=29.810865,-95.41413",151382824,152180336,0,1314502712|1351592514|890847592,residential,2.0,30.0,,concrete,yes,both,,,3,4,False,False,292.56601976946394,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482015111001,1217.0,5138.0,1.0,1.0,osm_footway
C-00020,West 28th Street,residential,30.0,osm,2.0,osm,24.0,Undivided,partial,,,,133625.0,5.6,18.6,3.1,58.4,0.0,624.1031206069446,False,False,0,29.811923,-95.411303,"https://maps.google.com/?q=29.811923,-95.411303",152346014,152353395,0,15372264,residential,2.0,30.0,,asphalt,,,,,4,4,False,False,267.18674302188793,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482015115011,1882.0,6619.0,0.36,0.27,osm_footway
C-00021,North Durham Drive,primary,45.0,city,3.0,city,36.0,Undivided,both,16590.0,street_median,,250001.0,1.0,14.0,7.5,64.0,1.8,212.9976037837855,True,False,1,29.812184,-95.41218,"https://maps.google.com/?q=29.812184,-95.41218",152346014,152346027,0,1473753202,primary,4.0,35.0,,concrete:plates,yes,both,none,,4,2,False,True,198.73161976171286,False,0,,,,45.0,0.4,LOOP ,False,0.4,3.0,12.0,0.0,1.0,city_lanes_x_width,city,,,,482015111001,1217.0,5138.0,1.0,1.0,osm_footway
C-00022,North Durham Drive,primary,35.0,osm,4.0,osm,48.0,,both,16590.0,street_median,,250001.0,1.0,14.0,7.5,64.0,1.8,370.6244521208247,True,False,0,29.810379,-95.412414,"https://maps.google.com/?q=29.810379,-95.412414",152180336,152346005,0,1474596721|48616068,primary,4.0,35.0,,concrete:plates,yes,both,none,,4,4,False,False,177.18336828043408,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,,,,482015111001,1217.0,5138.0,1.0,1.0,osm_footway
C-00023,North Durham Drive,primary,35.0,osm,4.0,osm,48.0,,both,16590.0,street_median,,250001.0,1.0,14.0,7.5,64.0,1.8,375.34175698319956,True,False,0,29.811404,-95.41241,"https://maps.google.com/?q=29.811404,-95.41241",152180336,152346014,0,1473753202,primary,4.0,35.0,,concrete:plates,yes,both,none,,4,4,False,False,185.11577551966616,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,,,,482015111001,1217.0,5138.0,0.82,1.0,osm_footway
C-00027,Falkirk Lane,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,partial,,,,250001.0,3.2,4.5,7.8,55.7,12.1,1191.502447454354,False,False,0,29.692628,-95.441887,"https://maps.google.com/?q=29.692628,-95.441887",152256627,3278400909,0,15427903,residential,2.0,,,concrete,,both,,,4,3,False,False,91.24202128874826,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014130001,1303.0,3195.0,0.0,0.09,osm_footway
C-00028,Stella Link Road,secondary,35.0,city,4.0,city,48.0,Raised,one_side,8144.0,street_median,,250001.0,3.2,4.5,7.8,55.7,12.1,299.5610972916671,False,True,0,29.692138,-95.44018,"https://maps.google.com/?q=29.692138,-95.44018",151400054,2133963370,0,1031604720|752877591,secondary,4.0,35.0,,concrete,yes,,,,4,4,False,False,177.32079076378832,True,1,C-03543,2.0,2.0,35.0,1.0,STELLA LINK RD,True,1.0,4.0,12.0,20.0,1.0,city_lanes_x_width,city,,,,482014130001,1303.0,3195.0,0.09,1.0,osm_footway
C-00029,Stella Link Road,secondary,35.0,city,4.0,city,48.0,Raised,partial,8144.0,street_median,,250001.0,3.2,4.5,7.8,55.7,12.1,310.6169990213452,False,True,0,29.692977,-95.440191,"https://maps.google.com/?q=29.692977,-95.440191",151400054,152495554,0,1031604720,secondary,4.0,35.0,,concrete:plates,yes,,,,4,4,False,False,177.92219234863853,True,1,C-00030,2.0,2.0,35.0,1.0,STELLA LINK RD,True,1.0,4.0,12.0,20.0,1.0,city_lanes_x_width,city,,,,482014130001,1303.0,3195.0,0.0,0.27,osm_footway
C-00031,Falkirk Lane,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,both,,,,250001.0,3.2,4.5,7.8,55.7,12.1,606.4820927262797,False,False,0,29.692699,-95.444714,"https://maps.google.com/?q=29.692699,-95.444714",152256627,153007151,0,15427903,residential,2.0,,,concrete,,both,,,4,1,False,False,87.33752422998177,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014130001,1303.0,3195.0,0.0,0.0,osm_road_tag
C-00032,Academy Street,tertiary,30.0,osm,,none,,,both,3455.0,street_median,,250001.0,3.2,4.5,7.8,55.7,12.1,288.9407706415253,False,False,0,29.692316,-95.443757,"https://maps.google.com/?q=29.692316,-95.443757",152256627,152256630,0,281218507,tertiary,,30.0,,concrete,,both,,,4,3,False,False,356.34238709642136,False,0,,,,,0.0,,True,0.0,,,,,none,none,,,,482014130001,1303.0,3195.0,0.0,0.0,osm_road_tag
C-00035,Cambridge Street,tertiary,35.0,city,4.0,city,48.0,Raised,both,,,,,0.0,15.7,19.6,32.8,0.0,33.82686940509045,False,False,0,29.715899,-95.397444,"https://maps.google.com/?q=29.715899,-95.397444",151421257,3232451627,0,599468879,tertiary,,,,concrete,,,,,3,3,False,False,301.7025081838366,False,0,,,,35.0,1.0,MAIN ST,False,1.0,4.0,12.0,30.0,,city_lanes_x_width,city,,,,482019803001,2885.0,6140.0,1.0,0.91,osm_footway
C-00036,Main Street,primary,35.0,city,4.0,city,48.0,Raised,one_side,15741.0,measured,34.0,,0.0,15.7,19.6,32.8,0.0,1410.631884765126,False,True,0,29.714328,-95.398749,"https://maps.google.com/?q=29.714328,-95.398749",1018664184,151421257,0,422720771|599468877|898389747|898389748|1049857300,primary,6.0,35.0,,asphalt,,one_side,,,3,3,False,False,212.8109101519293,True,1,C-09343,3.0,3.0,35.0,1.0,MAIN ST,True,1.0,4.0,12.0,30.0,0.0,city_lanes_x_width,city,2026.0,1.0,measured,482019803001,2885.0,6140.0,0.09,1.0,osm_footway
C-00037,Main Street,primary,35.0,city,4.0,city,48.0,Raised,one_side,15741.0,street_median,,,0.0,15.7,19.6,32.8,0.0,2092.3535337474805,False,True,0,29.718294,-95.395618,"https://maps.google.com/?q=29.718294,-95.395618",151421257,3232451635,0,15405931|995172092|898389749,primary,5.0,35.0,,asphalt,,,,,3,4,False,False,212.80883983974073,True,1,C-00038,2.0,3.0,35.0,1.0,MAIN ST,True,1.0,4.0,12.0,30.0,1.0,city_lanes_x_width,city,,,,482019803001,2885.0,6140.0,0.0,1.0,osm_footway
C-00040,John Freeman Boulevard,tertiary,35.0,city,4.0,city,48.0,Raised,one_side,,,,,0.0,15.7,19.6,32.8,0.0,39.26633987774764,False,True,0,29.712787,-95.39989,"https://maps.google.com/?q=29.712787,-95.39989",1016904960,3232451622,0,1060945096,tertiary,,,,,,,,,3,3,False,False,303.3418161225046,True,1,C-08296,1.0,,35.0,1.0,MAIN ST,False,1.0,4.0,12.0,30.0,,city_lanes_x_width,city,,,,482019803001,2885.0,6140.0,0.91,0.0,osm_footway
C-00041,Rice Boulevard,secondary,30.0,default_30_unposted,,none,,,both,7042.0,street_median,,,0.0,15.7,19.6,32.8,0.0,598.3983555402788,False,False,1,29.718871,-95.408102,"https://maps.google.com/?q=29.718871,-95.408102",151421458,151929918,0,15432230,secondary,,,,asphalt,,,,,3,3,True,False,244.67149480374755,False,0,,,,,0.0,,True,0.0,,,,,none,none,,,,482019803001,2885.0,6140.0,1.0,1.0,osm_footway
C-00042,South Shepherd Drive,secondary,30.0,default_30_unposted,2.0,osm,24.0,,partial,10838.0,street_median,,250001.0,6.4,1.4,0.0,92.4,9.2,371.73250826918985,True,False,1,29.71901,-95.409198,"https://maps.google.com/?q=29.71901,-95.409198",151421458,152662971,0,15452928,secondary,2.0,,,concrete:plates,,both,,,3,4,True,False,334.95384872597407,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,,,,482014120003,812.0,5783.0,0.36,0.36,osm_footway
C-00043,Rice Boulevard,secondary,30.0,default_30_unposted,2.0,osm,24.0,,both,13371.0,measured,31.0,,0.0,15.7,19.6,32.8,0.0,541.8397863060068,False,False,1,29.71824,-95.409747,"https://maps.google.com/?q=29.71824,-95.409747",151421458,151775928,0,103092481,secondary,2.0,,,asphalt,,,,,3,3,True,False,64.62136084613196,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,2025.0,1.0,measured,482019803001,2885.0,6140.0,1.0,1.0,osm_footway
C-00044,Wilton Street,residential,30.0,default_30_local,2.0,default_local_2,24.0,Undivided,partial,,,,250001.0,6.4,1.4,0.0,92.4,9.2,372.48464351622516,False,False,0,29.71967,-95.407469,"https://maps.google.com/?q=29.71967,-95.407469",151929918,152363324,0,15372927,residential,,,,asphalt,,,,,3,4,False,False,155.10917005853975,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014120003,812.0,5783.0,0.0,0.18,osm_footway
C-00045,Whitley Street,residential,30.0,default_30_local,2.0,default_local_2,24.0,Undivided,partial,,,,250001.0,6.4,1.4,0.0,92.4,9.2,371.2042890313467,False,False,0,29.718412,-95.410764,"https://maps.google.com/?q=29.718412,-95.410764",151775928,152558110,0,15392568,residential,,,,asphalt,,,,,3,4,False,False,154.6630404183162,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014120003,812.0,5783.0,0.09,0.18,osm_footway
C-00046,Rice Boulevard,secondary,30.0,default_30_unposted,2.0,osm,24.0,,both,7042.0,street_median,,,0.0,15.7,19.6,32.8,0.0,718.0683931432258,False,False,1,29.717619,-95.411596,"https://maps.google.com/?q=29.717619,-95.411596",151775928,152648206,0,103092481,secondary,2.0,,,asphalt,,,,,3,4,False,True,74.7106356747027,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,,,,482019803001,2885.0,6140.0,1.0,1.0,osm_footway
C-00051,Beechnut Street,secondary,35.0,city,4.0,city,48.0,Raised,one_side,18927.0,street_median,,87873.0,14.3,30.3,25.2,34.1,9.6,218.61267542036876,False,True,0,29.689209,-95.457351,"https://maps.google.com/?q=29.689209,-95.457351",151441843,151473226,0,258361185|1061758908|737767341,secondary,4.0,,,concrete,yes,,,,3,3,False,False,272.16614902765457,True,1,C-00054,2.0,2.0,35.0,1.0,BEECHNUT ST,True,1.0,4.0,,20.0,1.0,lanes_x_12ft_assumed,city,,,,482014129011,2202.0,7067.0,0.0,1.0,osm_footway
C-00052,Beechnut Street,secondary,35.0,city,4.0,city,48.0,Raised,one_side,17284.0,measured,41.0,87873.0,14.3,30.3,25.2,34.1,9.6,372.3776790341228,False,True,0,29.689207,-95.45642,"https://maps.google.com/?q=29.689207,-95.45642",151441843,152242938,0,258361185,secondary,4.0,,,concrete,yes,,,,3,3,False,False,266.8762703203087,True,1,C-00053,2.0,2.0,35.0,1.0,BEECHNUT ST,True,1.0,4.0,,20.0,1.0,lanes_x_12ft_assumed,city,2026.0,1.0,measured,482014129011,2202.0,7067.0,0.0,1.0,osm_footway
C-00056,Beechnut Street,secondary,35.0,city,4.0,city,48.0,Raised,one_side,18927.0,street_median,,87873.0,14.3,30.3,25.2,34.1,9.6,276.9499060038958,False,True,0,29.689275,-95.458127,"https://maps.google.com/?q=29.689275,-95.458127",151473226,152299023,0,737767338|1059507498|737767342,secondary,4.0,,,concrete,yes,,,,3,2,False,False,272.78508452251793,True,1,C-09586,2.0,2.0,35.0,1.0,BEECHNUT ST,True,1.0,4.0,,20.0,1.0,lanes_x_12ft_assumed,city,,,,482014129011,2202.0,7067.0,0.27,1.0,osm_footway
C-00058,Beechnut Street,secondary,35.0,city,4.0,city,48.0,Raised,one_side,18927.0,street_median,,87873.0,14.3,30.3,25.2,34.1,9.6,384.9577660365479,False,True,0,29.68923,-95.455228,"https://maps.google.com/?q=29.68923,-95.455228",152242938,152244283,0,258361185,secondary,4.0,,,concrete,yes,,,,3,3,False,False,267.0617928049916,True,1,C-04217,2.0,2.0,35.0,1.0,BEECHNUT ST,True,1.0,4.0,,20.0,1.0,lanes_x_12ft_assumed,city,,,,482014129011,2202.0,7067.0,0.0,1.0,osm_footway
C-00063,Old Katy Road,secondary,45.0,city,4.0,city,48.0,Raised,none,,,,99919.0,18.2,14.1,22.0,55.0,0.0,839.3438455755844,False,True,0,29.783978,-95.448664,"https://maps.google.com/?q=29.783978,-95.448664",151455440,12375695753,0,675849946|423460695,secondary,4.0,45.0,,concrete:plates,yes,,,,3,3,False,False,274.02166222346983,True,1,C-00062,2.0,2.0,45.0,1.0,KATY RD,True,1.0,4.0,12.0,30.0,1.0,city_lanes_x_width,city,,,,482015109022,4039.0,2944.0,0.0,0.0,osm_footway
C-00064,Old Katy Road,secondary,45.0,city,4.0,city,48.0,Raised,none,,,,99919.0,18.2,14.1,22.0,55.0,0.0,406.83415295993285,False,True,0,29.78374,-95.446972,"https://maps.google.com/?q=29.78374,-95.446972",1202431311,13857598340,0,1237389248|423460689,secondary,4.0,,,concrete:plates,yes,,shoulder,present,3,4,False,False,279.79376476106114,True,1,C-00061,2.0,2.0,45.0,1.0,KATY RD,True,1.0,4.0,12.0,30.0,1.0,city_lanes_x_width,city,,,,482015109022,4039.0,2944.0,0.0,0.0,osm_footway
C-00071,Waugh Drive,secondary,30.0,default_30_unposted,2.0,osm,24.0,,one_side,7565.0,measured,34.0,130480.0,6.2,20.6,7.2,52.5,3.2,319.58250931264024,True,False,0,29.745749,-95.393589,"https://maps.google.com/?q=29.745749,-95.393589",151457777,151457780,0,15286311,secondary,2.0,,,asphalt,,,track,,3,4,False,False,305.63407657479223,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,2026.0,1.0,measured,482014105011,1815.0,8515.0,0.73,0.27,osm_footway
C-00072,Waughcrest Drive,residential,30.0,default_30_local,1.0,osm,12.0,Undivided,one_side,,,,162031.0,2.5,26.0,0.0,57.1,4.6,233.43772022616105,True,False,0,29.745751,-95.393803,"https://maps.google.com/?q=29.745751,-95.393803",151457777,152195978,0,388174056,residential,1.0,,,,,,,,3,4,False,False,329.3861510719032,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014104021,1205.0,9936.0,1.0,0.45,osm_footway
C-00073,Waugh Drive,secondary,30.0,default_30_unposted,2.0,osm,24.0,,both,19834.0,street_median,,162031.0,2.5,26.0,0.0,57.1,4.6,500.6859531894094,True,False,0,29.746644,-95.394342,"https://maps.google.com/?q=29.746644,-95.394342",152966977,151457777,0,15286311,secondary,2.0,,,asphalt,,,track,,4,3,False,False,329.55874454129327,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,,,,482014104021,1205.0,9936.0,1.0,1.0,osm_footway
C-00074,California Street,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,both,,,,130480.0,6.2,20.6,7.2,52.5,3.2,141.23848982308445,False,False,0,29.745502,-95.39339,"https://maps.google.com/?q=29.745502,-95.39339",151457780,152195978,0,15404971,residential,2.0,,,,,,,,4,4,False,False,83.8181675693453,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014105011,1815.0,8515.0,0.73,1.0,osm_footway
C-00075,California Street,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,one_side,,,,130480.0,6.2,20.6,7.2,52.5,3.2,137.97740448066497,False,False,0,29.745509,-95.392951,"https://maps.google.com/?q=29.745509,-95.392951",151457780,152368763,0,15404971,residential,2.0,,,,,,,,4,4,False,False,267.76475341055556,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014105011,1815.0,8515.0,0.91,0.27,osm_footway
C-00076,Waugh Drive,secondary,30.0,default_30_unposted,2.0,osm,24.0,,both,19834.0,street_median,,130480.0,6.2,20.6,7.2,52.5,3.2,228.54877187916316,True,False,0,29.745288,-95.392912,"https://maps.google.com/?q=29.745288,-95.392912",151457780,151457784,0,15286311,secondary,2.0,,,asphalt,,,track,,4,3,False,False,319.2700240405419,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,,,,482014105011,1815.0,8515.0,1.0,1.0,osm_footway
C-00077,California Street,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,one_side,,,,162031.0,2.5,26.0,0.0,57.1,4.6,445.9383960722411,False,False,0,29.745192,-95.394232,"https://maps.google.com/?q=29.745192,-95.394232",152195978,152448641,0,15404971,residential,2.0,,,,,,,,4,4,False,False,60.372507291901286,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014104021,1205.0,9936.0,0.36,1.0,osm_footway
C-00078,Waughcrest Drive,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,both,,,,162031.0,2.5,26.0,0.0,57.1,4.6,340.3808826475812,False,False,0,29.745067,-95.393354,"https://maps.google.com/?q=29.745067,-95.393354",152195978,153095742,0,157351488,residential,2.0,,,,,,,,4,3,False,False,330.5002420720924,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014104021,1205.0,9936.0,0.91,1.0,osm_footway
C-00079,California Street,residential,30.0,default_30_local,2.0,osm,24.0,Undivided,one_side,,,,130480.0,6.2,20.6,7.2,52.5,3.2,281.2775130339613,False,False,0,29.74552,-95.39229,"https://maps.google.com/?q=29.74552,-95.39229",152368763,152688274,0,15404971,residential,2.0,,,,,,,,4,3,False,False,267.0250718127237,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014105011,1815.0,8515.0,1.0,0.0,osm_footway
